-8	3
-7	6
-7	7
-8	2
-11	0
-11	0
-7	1
-7	2
-8	-2
-9	0
-13	0
-16	2
-18	8
-19	11
-18	12
-19	10
-19	11
-19	12
-18	11
-18	14
-15	11
-14	6
-12	8
-11	7
-9	7
-9	9
-10	8
-9	8
-11	7
-12	8
-10	6
-10	3
-9	5
-8	5
-9	4
-9	6
-8	6
-9	3
-10	2
-9	3
-9	4
-8	2
-6	9
-8	12
-9	8
-8	0
-7	-1
-6	1
-5	0
-4	-2
-3	-4
-7	1
-9	4
-9	4
-8	3
-7	0
-5	3
-7	1
-7	2
-6	1
-5	0
-5	1
-3	-1
-4	-2
-5	-3
-4	-5
-4	-5
